TYPEJOB;DEBUT;FIN;DUREE_SEC;ETAT
flux13RiCisActivites;01/08/14 16:50:24;01/08/14 16:50:25;     1;ok
flux11RiCisContactBailleur;01/08/14 16:50:11;01/08/14 16:50:11;     0;ok
flux12CisRiActivites;01/08/14 16:40:29;01/08/14 16:40:30;     1;ok
flux10CisRiContactBailleur;01/08/14 16:40:14;01/08/14 16:40:14;     0;ok
flux14CisRiGedATransferer;01/08/14 16:03:24;01/08/14 16:12:42;   558;ok
flux9RiCisBailleur;01/08/14 16:03:10;01/08/14 16:03:11;     1;ok
flux8RiCisBailleur;01/08/14 16:02:35;01/08/14 16:02:36;     1;ok
flux6RiCisBailleur;01/08/14 16:02:20;01/08/14 16:02:21;     1;ok
flux4RiCisBailleur;01/08/14 16:01:57;01/08/14 16:01:58;     1;ok
flux2RiCisBailleur;01/08/14 16:01:29;01/08/14 16:01:30;     1;ok
flux7CisRiPh;01/08/14 16:01:15;01/08/14 16:01:17;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 16:00:55;01/08/14 16:00:55;     0;ok
flux3CisRiPhBauxCc;01/08/14 16:00:39;01/08/14 16:00:40;     1;ok
flux1CisRiPhCc;01/08/14 16:00:16;01/08/14 16:00:25;     9;ok
flux13RiCisActivites;01/08/14 15:50:25;01/08/14 15:50:26;     1;ok
flux11RiCisContactBailleur;01/08/14 15:50:11;01/08/14 15:50:12;     1;ok
flux12CisRiActivites;01/08/14 15:40:39;01/08/14 15:40:40;     1;ok
flux10CisRiContactBailleur;01/08/14 15:40:23;01/08/14 15:40:24;     1;ok
flux14CisRiGedATransferer;01/08/14 15:04:40;01/08/14 15:15:52;   672;ok
flux9RiCisBailleur;01/08/14 15:04:15;01/08/14 15:04:16;     1;ok
flux8RiCisBailleur;01/08/14 15:03:54;01/08/14 15:03:55;     1;ok
flux6RiCisBailleur;01/08/14 15:03:19;01/08/14 15:03:20;     1;ok
flux4RiCisBailleur;01/08/14 15:02:54;01/08/14 15:02:55;     1;ok
flux2RiCisBailleur;01/08/14 15:02:11;01/08/14 15:02:12;     1;ok
flux7CisRiPh;01/08/14 15:01:40;01/08/14 15:01:45;     5;ok
flux5CisRiPhBauxHorsCc;01/08/14 15:01:10;01/08/14 15:01:11;     1;ok
flux3CisRiPhBauxCc;01/08/14 15:00:42;01/08/14 15:00:43;     1;ok
flux1CisRiPhCc;01/08/14 15:00:22;01/08/14 15:00:28;     6;ok
flux13RiCisActivites;01/08/14 14:50:23;01/08/14 14:50:24;     1;ok
flux11RiCisContactBailleur;01/08/14 14:50:11;01/08/14 14:50:12;     1;ok
flux12CisRiActivites;01/08/14 14:40:39;01/08/14 14:40:39;     0;ok
flux10CisRiContactBailleur;01/08/14 14:40:10;01/08/14 14:40:11;     1;ok
flux14CisRiGedATransferer;01/08/14 14:03:54;01/08/14 14:13:19;   565;ok
flux9RiCisBailleur;01/08/14 14:03:33;01/08/14 14:03:34;     1;ok
flux8RiCisBailleur;01/08/14 14:03:10;01/08/14 14:03:11;     1;ok
flux6RiCisBailleur;01/08/14 14:02:51;01/08/14 14:02:51;     0;ok
flux4RiCisBailleur;01/08/14 14:02:29;01/08/14 14:02:29;     0;ok
flux2RiCisBailleur;01/08/14 14:02:03;01/08/14 14:02:04;     1;ok
flux7CisRiPh;01/08/14 14:01:39;01/08/14 14:01:47;     8;ok
flux5CisRiPhBauxHorsCc;01/08/14 14:01:07;01/08/14 14:01:07;     0;ok
flux3CisRiPhBauxCc;01/08/14 14:00:54;01/08/14 14:00:54;     0;ok
